time,seconds_elapsed,z,y,x
1.68029E+18,1.034546143,-1.474072933,-2.084281445,4.453569412
1.68029E+18,1.04462207,-1.600610256,-2.370559931,4.50894022
1.68029E+18,1.054696777,-1.721320868,-2.532601118,4.579468727
1.68029E+18,1.064771973,-1.805069208,-2.459352016,4.650681496
1.68029E+18,1.074848145,-1.851752281,-2.251652718,4.758174419
1.68029E+18,1.084923096,-1.878668547,-2.144129515,4.868413925
1.68029E+18,1.094999023,-1.911095381,-2.175991535,4.973590374
1.68029E+18,1.105073975,-1.94460845,-2.207044363,5.093403339
1.68029E+18,1.115150146,-1.9893924,-2.290559769,5.239662647
1.68029E+18,1.125224854,-2.036357164,-2.48826766,5.384887218
1.68029E+18,1.135300049,-2.082391024,-2.613162756,5.521015644
1.68029E+18,1.145376221,-2.111953497,-2.508709908,5.693433762
1.68029E+18,1.155450928,-2.108699799,-2.245925665,5.829310894
1.68029E+18,1.165526855,-2.045556545,-2.120955706,5.940915108
1.68029E+18,1.175602051,-1.958036065,-2.180933952,5.99864912
1.68029E+18,1.185678223,-1.857257128,-2.252245188,6.009348869
1.68029E+18,1.195753174,-1.738296747,-2.181809187,5.984740257
1.68029E+18,1.205827881,-1.616930246,-2.02813983,5.947943687
1.68029E+18,1.215904053,-1.484461784,-1.826542139,5.866783142
1.68029E+18,1.225979004,-1.354550481,-1.777871609,5.788998127
1.68029E+18,1.236054932,-1.257550597,-1.818513155,5.66782999
1.68029E+18,1.246130127,-1.225813031,-2.037497044,5.5491786
1.68029E+18,1.256206055,-1.259660006,-2.329129696,5.395153046
1.68029E+18,1.266281006,-1.297652841,-2.644360542,5.244751453
1.68029E+18,1.276355957,-1.321309805,-2.834892273,5.108667374
1.68029E+18,1.286431885,-1.338348031,-2.742651224,4.995640278
1.68029E+18,1.29650708,-1.334689617,-2.405865908,4.94370985
1.68029E+18,1.306583252,-1.322029591,-1.904682279,4.916025162
1.68029E+18,1.316657715,-1.291065812,-1.404074073,4.893373489
1.68029E+18,1.326733887,-1.244223356,-0.9656896,4.876970291
1.68029E+18,1.336809082,-1.211183071,-0.671031594,4.845177174
1.68029E+18,1.346884277,-1.174157143,-0.454199702,4.788026333
1.68029E+18,1.356959961,-1.14179492,-0.383386254,4.720722198
1.68029E+18,1.367034912,-1.104237795,-0.398584247,4.624794483
1.68029E+18,1.377111084,-1.052710652,-0.439456284,4.501012802
1.68029E+18,1.387186035,-0.963680267,-0.376084954,4.35551405
1.68029E+18,1.397261963,-0.865865827,-0.214859858,4.21721983
1.68029E+18,1.407337158,-0.773973644,-0.229910344,4.051785946
1.68029E+18,1.417411865,-0.694917977,-0.412370175,3.844198227
1.68029E+18,1.427487793,-0.62652564,-0.418538958,3.619255781
1.68029E+18,1.437562988,-0.547236681,-0.433966398,3.439352512
1.68029E+18,1.44763916,-0.470389426,-0.493278682,3.206151485
1.68029E+18,1.457714111,-0.392659724,-0.646435261,3.03988266
1.68029E+18,1.467790039,-0.342589527,-0.57911098,2.879452705
1.68029E+18,1.47786499,-0.297262788,-0.206172019,2.770255804
1.68029E+18,1.487939941,-0.273862392,0.048412111,2.660656214
1.68029E+18,1.498015869,-0.29570353,0.003265671,2.543442011
1.68029E+18,1.50809082,-0.368738294,-0.245861799,2.409761429
1.68029E+18,1.518166992,-0.466793209,-0.642869592,2.319604874
1.68029E+18,1.528241943,-0.587241828,-0.896111429,2.217198849
1.68029E+18,1.538317627,-0.656928241,-0.964045525,2.140408754
1.68029E+18,1.548392822,-0.723513126,-0.868418097,2.101955414
1.68029E+18,1.558468018,-0.792737722,-0.453427285,1.993497372
1.68029E+18,1.568543945,-0.833407998,0.025540244,1.899247169
1.68029E+18,1.578618652,-0.874358654,0.410242915,1.747764349
1.68029E+18,1.588694824,-0.916651666,0.55348748,1.551316857
1.68029E+18,1.598769775,-0.955217957,0.445926964,1.333575726
1.68029E+18,1.608845703,-1.008509278,0.14914006,1.108010411
1.68029E+18,1.618920898,-1.059016943,-0.150185928,0.892927945
1.68029E+18,1.628995605,-1.092628837,-0.38603422,0.691283941
1.68029E+18,1.639071777,-1.10452497,-0.6072191,0.515092134
1.68029E+18,1.649146973,-1.099333644,-0.809532285,0.358546555
1.68029E+18,1.6592229,-1.077345967,-0.811121643,0.207475811
1.68029E+18,1.669297852,-1.05407989,-0.701427877,0.132568479
1.68029E+18,1.679374023,-1.026554227,-0.470195711,0.075771242
1.68029E+18,1.68944873,-1.025181174,-0.212796316,0.036563616
1.68029E+18,1.699523682,-1.043788433,-0.023820808,0.035805684
1.68029E+18,1.709599854,-1.07830584,0.102463,0.018254155
1.68029E+18,1.719675049,-1.137194753,0.001872213,-0.005970757
1.68029E+18,1.729750977,-1.220013022,-0.296114385,-0.051938739
1.68029E+18,1.739825684,-1.304074287,-0.504404783,-0.129438594
1.68029E+18,1.749901855,-1.372877836,-0.598869801,-0.179758802
1.68029E+18,1.759977051,-1.458985329,-0.487304926,-0.275293559
1.68029E+18,1.770051758,-1.54385066,-0.215234756,-0.381689727
1.68029E+18,1.78012793,-1.657840848,0.054089654,-0.505145907
1.68029E+18,1.790203125,-1.791286945,0.291055322,-0.745399177
1.68029E+18,1.800278564,-1.941075325,0.36609894,-1.070705533
1.68029E+18,1.81035376,-2.140077591,0.06084666,-1.53852284
1.68029E+18,1.820429932,-2.323293209,0.009084662,-2.160822868
1.68029E+18,1.830504883,-2.472303152,0.080681257,-2.793733358
1.68029E+18,1.840580078,-2.618172407,0.329855919,-3.557287693
1.68029E+18,1.850655762,-2.74524951,0.561405003,-4.304380894
1.68029E+18,1.860730957,-2.828248262,1.091643214,-5.119283199
1.68029E+18,1.870806885,-2.925967693,1.420480847,-5.94598341
1.68029E+18,1.880881836,-2.996591568,1.759316087,-6.889108658
1.68029E+18,1.890958008,-3.068454266,1.915778041,-7.827800274
1.68029E+18,1.901032715,-3.088321447,1.637201548,-8.90799427
1.68029E+18,1.91110791,-2.994992256,1.277631164,-10.18750668
1.68029E+18,1.921183838,-2.719034433,1.148164511,-11.65422821
1.68029E+18,1.931258789,-2.155569553,1.139564872,-13.46112061
1.68029E+18,1.941334961,-1.382281184,0.718195021,-15.51729488
1.68029E+18,1.951410156,-0.196277201,-0.28286922,-17.8517704
1.68029E+18,1.96148584,1.335286498,-1.624716163,-20.12906075
1.68029E+18,1.971560791,2.788187265,-4.397049904,-19.88041306
1.68029E+18,1.981635986,5.43923521,-1.175904632,-19.71428299
1.68029E+18,1.991711914,5.359188557,2.182495832,-22.34073067
1.68029E+18,2.001786865,6.610482693,-3.256953716,-21.61168289
1.68029E+18,2.011862793,7.515487671,-4.214839458,-20.73453331
1.68029E+18,2.021937988,7.934923649,-4.877886295,-19.10947037
1.68029E+18,2.032012939,8.46517086,-9.430100441,-17.69152451
1.68029E+18,2.042088867,9.18961525,-12.31745529,-15.85475349
1.68029E+18,2.052164063,9.354710579,-9.805052757,-13.1389637
1.68029E+18,2.06223999,8.70537281,-4.245654106,-10.55566502
1.68029E+18,2.072314697,7.812807083,0.132729113,-8.54605484
1.68029E+18,2.082390869,6.613867283,0.905092418,-6.534300327
1.68029E+18,2.092466064,5.71902132,0.82774806,-4.821464062
1.68029E+18,2.102541016,5.094013214,0.693897903,-3.40334487
1.68029E+18,2.112616943,4.453769207,0.071453691,-1.997787714
1.68029E+18,2.122691895,3.898440123,0.28536278,-0.925033271
1.68029E+18,2.132767822,3.507668257,0.680138588,-0.217537075
1.68029E+18,2.142843018,3.151269197,0.553125262,0.255006522
1.68029E+18,2.152918945,2.789557219,0.258184612,0.752882838
1.68029E+18,2.162993896,2.403234243,0.860084832,1.058944225
1.68029E+18,2.173068848,2.092255354,1.382819414,1.232952237
1.68029E+18,2.183144775,1.738932133,0.966889262,1.434553266
1.68029E+18,2.193219727,1.315898418,0.263261706,1.583945155
1.68029E+18,2.203295898,0.898926556,0.156061217,1.575053573
1.68029E+18,2.213371094,0.460512608,0.656877398,1.479349017
1.68029E+18,2.223447021,0.007166428,0.44864431,1.327676654
1.68029E+18,2.233521729,-0.405317336,-0.442775279,1.006476879
1.68029E+18,2.243596924,-0.732335687,-1.244205475,0.662753224
1.68029E+18,2.253672852,-0.983152449,-1.550324917,0.484827787
1.68029E+18,2.263747803,-1.129450798,-1.653235793,0.467446923
1.68029E+18,2.273823975,-1.189069033,-1.69488883,0.501697481
1.68029E+18,2.283898926,-1.211782813,-1.593524218,0.551840544
1.68029E+18,2.293974854,-1.205310822,-0.778431296,0.693291306
1.68029E+18,2.304049805,-1.148006201,0.46569106,0.828333259
1.68029E+18,2.314125,-1.074389577,1.169486046,0.816537857
1.68029E+18,2.324201172,-0.972119093,1.010951757,0.69807303
1.68029E+18,2.334275635,-0.846470177,0.48381108,0.577702761
1.68029E+18,2.344351807,-0.708759725,0.071025357,0.443857878
1.68029E+18,2.354427002,-0.588756084,0.037845347,0.348997056
1.68029E+18,2.364501953,-0.498196065,0.153537586,0.324761212
1.68029E+18,2.374577881,-0.425765485,0.289424598,0.327308834
1.68029E+18,2.384652832,-0.383182347,0.409231186,0.327344775
1.68029E+18,2.39472876,-0.36912331,0.49399823,0.349148303
1.68029E+18,2.404803955,-0.371027738,0.48179242,0.379152298
1.68029E+18,2.414879883,-0.399330944,0.22074087,0.354069859
1.68029E+18,2.424954834,-0.438038677,-0.14260751,0.290042669
1.68029E+18,2.435029785,-0.491467237,-0.413201779,0.277337581
1.68029E+18,2.445105713,-0.543383121,-0.429991156,0.265296102
1.68029E+18,2.455180908,-0.601084709,-0.263459831,0.269311041
1.68029E+18,2.465256836,-0.651930332,-0.01626147,0.306064248
1.68029E+18,2.475332031,-0.702199578,0.223098457,0.366977781
1.68029E+18,2.485407959,-0.74382931,0.498557985,0.393793166
1.68029E+18,2.495482666,-0.762127757,0.734836757,0.422679216
1.68029E+18,2.505557617,-0.7629866,0.801176608,0.45698899
1.68029E+18,2.515633789,-0.737325311,0.726840436,0.471883953
1.68029E+18,2.52570874,-0.696001053,0.59950006,0.459297866
1.68029E+18,2.535784912,-0.636807263,0.461851358,0.490507454
1.68029E+18,2.545859619,-0.582651079,0.396879822,0.529711068
1.68029E+18,2.555935547,-0.518527448,0.4531416,0.568874002
