time,seconds_elapsed,z,y,x
1.68029E+18,0.822132813,-1.278509855,-3.10018301,5.128542423
1.68029E+18,0.832207764,-1.362002969,-3.149783373,5.20863533
1.68029E+18,0.842282715,-1.458930254,-3.176078558,5.301234722
1.68029E+18,0.85235791,-1.569821358,-3.207066774,5.408120155
1.68029E+18,0.862432617,-1.681061387,-3.178282022,5.524709702
1.68029E+18,0.872507813,-1.778458953,-3.092669964,5.639142513
1.68029E+18,0.88258374,-1.852549434,-2.955404282,5.739051819
1.68029E+18,0.892658691,-1.906131983,-2.86339736,5.833226204
1.68029E+18,0.902733643,-1.927075863,-2.800465822,5.906143665
1.68029E+18,0.912808838,-1.922271729,-2.69272089,5.98487854
1.68029E+18,0.922883789,-1.886428475,-2.474948406,6.073608398
1.68029E+18,0.932959717,-1.825814366,-2.180351019,6.161103725
1.68029E+18,0.943034912,-1.748389602,-1.840744734,6.25403738
1.68029E+18,0.953109619,-1.645775199,-1.563673854,6.331762791
1.68029E+18,0.963184814,-1.551781416,-1.493833303,6.37743187
1.68029E+18,0.97326001,-1.471927643,-1.682874799,6.366497993
1.68029E+18,0.983334961,-1.400659084,-2.006419659,6.316316605
1.68029E+18,0.993410645,-1.352486968,-2.32819891,6.239761829
1.68029E+18,1.00348584,-1.311644435,-2.595926285,6.140309811
1.68029E+18,1.013560791,-1.27204752,-2.744636774,6.026404858
1.68029E+18,1.023635986,-1.236620545,-2.745653152,5.909583569
1.68029E+18,1.033710693,-1.217162967,-2.626279354,5.809056759
1.68029E+18,1.043785645,-1.210413456,-2.483855247,5.716305256
1.68029E+18,1.053861816,-1.207179308,-2.31394434,5.616562843
1.68029E+18,1.063936768,-1.194739699,-2.161787033,5.50296545
1.68029E+18,1.074011719,-1.1681602,-2.084540606,5.363400459
1.68029E+18,1.08408667,-1.137712836,-1.997224927,5.188301086
1.68029E+18,1.094161621,-1.105786443,-1.96884203,5.016236305
1.68029E+18,1.104236816,-1.104994893,-1.922221184,4.837940216
1.68029E+18,1.114312988,-1.121895432,-1.816358447,4.70658493
1.68029E+18,1.124387695,-1.14838326,-1.577692389,4.603531361
1.68029E+18,1.134462646,-1.188585877,-1.207262754,4.52410984
1.68029E+18,1.144537842,-1.225945473,-0.850723267,4.435110092
1.68029E+18,1.154612793,-1.227441669,-0.587569296,4.315382004
1.68029E+18,1.164687744,-1.236943007,-0.479390889,4.135442734
1.68029E+18,1.174763916,-1.298349857,-0.587190986,3.922095537
1.68029E+18,1.184838623,-1.398044467,-0.783059001,3.684917927
1.68029E+18,1.194913818,-1.482477069,-0.988432527,3.46095562
1.68029E+18,1.204988525,-1.499874234,-1.111222386,3.255822659
1.68029E+18,1.215063721,-1.487455606,-1.076608658,3.062137127
1.68029E+18,1.225139893,-1.486044049,-0.930787742,2.869928837
1.68029E+18,1.235214844,-1.548853993,-0.747197032,2.645932913
1.68029E+18,1.245289551,-1.663438082,-0.595260262,2.386351585
1.68029E+18,1.255364746,-1.799137354,-0.434132218,2.088608742
1.68029E+18,1.265439697,-1.910317421,-0.308535933,1.787299871
1.68029E+18,1.275514893,-1.981603146,-0.154109836,1.470572948
1.68029E+18,1.28559082,-2.025146008,-0.042386495,1.17335856
1.68029E+18,1.295665527,-2.081846952,0.174275249,0.870518029
1.68029E+18,1.305740723,-2.11631918,0.557723522,0.607083976
1.68029E+18,1.315815918,-2.149074554,1.078547239,0.362434864
1.68029E+18,1.325890869,-2.169028521,1.601211309,0.102913015
1.68029E+18,1.33596582,-2.192283392,1.936244369,-0.174461946
1.68029E+18,1.346041748,-2.198473692,2.069205999,-0.5062204
1.68029E+18,1.356116699,-2.187490225,2.123934984,-0.876382232
1.68029E+18,1.366191895,-2.166565657,2.207709551,-1.243856311
1.68029E+18,1.376266602,-2.109199047,2.387180328,-1.642645836
1.68029E+18,1.386341797,-1.997651339,2.638258934,-2.035717249
1.68029E+18,1.396417725,-1.856459141,2.862258434,-2.425514221
1.68029E+18,1.406492676,-1.686395764,2.994086981,-2.845478296
1.68029E+18,1.416567627,-1.503486633,2.841873884,-3.27925396
1.68029E+18,1.426642822,-1.316437602,2.298440933,-3.808532238
1.68029E+18,1.436717773,-1.044734716,1.418209672,-4.480757713
1.68029E+18,1.446792969,-0.669132888,0.630282819,-5.229042053
1.68029E+18,1.456868896,-0.177912682,0.054011475,-6.089404106
1.68029E+18,1.466943604,0.428040624,-0.143111721,-7.022932529
1.68029E+18,1.477018799,1.178943753,-0.269466996,-8.11160183
1.68029E+18,1.487093994,2.027775526,-0.106525503,-9.233097076
1.68029E+18,1.497168945,2.904456854,0.138375923,-10.51652527
1.68029E+18,1.507244629,3.909622669,-0.172294334,-11.90130711
1.68029E+18,1.517319824,4.977812767,-0.543023944,-13.22283173
1.68029E+18,1.527394775,6.084433556,-1.03116107,-14.41087723
1.68029E+18,1.537469971,6.975257874,-1.631650925,-14.73317432
1.68029E+18,1.547544678,8.165937424,-0.569495022,-12.25836182
1.68029E+18,1.557619629,8.100049973,2.126791,-14.40194225
1.68029E+18,1.567695801,8.514431,2.543465137,-14.28829765
1.68029E+18,1.577770752,8.115926743,5.632305145,-13.72756672
1.68029E+18,1.587845703,7.176733017,6.999672413,-13.60311985
1.68029E+18,1.597920898,6.152356625,6.932596207,-13.26120949
1.68029E+18,1.607995605,5.016327858,6.172585964,-13.03522682
1.68029E+18,1.618071777,4.171630859,4.173202038,-12.88432693
1.68029E+18,1.628146973,3.724322319,1.746043801,-12.58495903
1.68029E+18,1.63822168,3.595034122,0.311989427,-12.08044147
1.68029E+18,1.648296875,3.58342433,-0.090414464,-11.34547615
1.68029E+18,1.658371826,3.529165983,0.761644304,-10.19376469
1.68029E+18,1.668446777,3.352064371,1.764443278,-8.739565849
1.68029E+18,1.678522705,3.177519083,2.238308191,-7.495794773
1.68029E+18,1.6885979,3.166104078,2.164097071,-6.251372814
1.68029E+18,1.698672852,3.000494957,1.900643945,-5.233320236
1.68029E+18,1.708747803,3.07989502,1.971435308,-4.192127705
1.68029E+18,1.71882251,3.08767724,2.567286253,-3.365537882
1.68029E+18,1.728897705,3.073765039,2.876801491,-2.780740023
1.68029E+18,1.738973877,2.989273071,2.12720418,-2.425088167
1.68029E+18,1.749048828,2.857818604,1.098034263,-2.091763735
1.68029E+18,1.759123535,2.689548492,0.601293862,-1.748316765
1.68029E+18,1.76919873,2.462651491,0.630232036,-1.435342073
1.68029E+18,1.779273682,2.202509165,0.926761985,-1.177588582
1.68029E+18,1.789349854,1.880671859,1.434904814,-0.949672043
1.68029E+18,1.799425049,1.704859614,1.91492641,-0.757081389
1.68029E+18,1.809499512,1.502491832,2.30264163,-0.694444358
1.68029E+18,1.819574707,1.280915141,2.499306679,-0.675174594
1.68029E+18,1.829649658,1.051992774,2.395169735,-0.691218793
1.68029E+18,1.839724854,0.798734963,1.965230942,-0.777360797
1.68029E+18,1.849800537,0.580955267,1.446200013,-0.894938827
1.68029E+18,1.859875488,0.412814796,1.042492509,-0.978280663
1.68029E+18,1.869950684,0.271918118,0.693938434,-0.978624165
1.68029E+18,1.880025635,0.153488383,0.461077273,-0.916002154
1.68029E+18,1.890100586,0.078061804,0.436646223,-0.802816749
1.68029E+18,1.900175781,0.04165658,0.532306075,-0.665617764
1.68029E+18,1.910251465,0.02080323,0.564614177,-0.492841512
1.68029E+18,1.92032666,0.017083213,0.611219823,-0.316451967
1.68029E+18,1.930401611,0.025993884,0.681499362,-0.153574914
1.68029E+18,1.940476563,0.037976358,0.72134763,-0.02503995
1.68029E+18,1.950551758,0.05278806,0.616916835,0.085017577
1.68029E+18,1.960626709,0.058748025,0.492455721,0.200632736
1.68029E+18,1.970702637,0.064017624,0.411131561,0.296772331
1.68029E+18,1.980777588,0.049057204,0.309328526,0.372087955
1.68029E+18,1.990852539,0.016380219,0.161812305,0.452067226
1.68029E+18,2.000927734,-0.015881848,0.058464877,0.53896296
1.68029E+18,2.01100293,-0.055535786,-0.015048487,0.632477462
1.68029E+18,2.021078369,-0.088521622,-0.014984919,0.716313183
1.68029E+18,2.031153564,-0.112957984,0.149643987,0.831354558
1.68029E+18,2.04122876,-0.125668883,0.335615784,0.970985651
1.68029E+18,2.051303711,-0.140618533,0.396230936,1.079779744
1.68029E+18,2.061378662,-0.144124165,0.394395739,1.15163064
1.68029E+18,2.071453613,-0.141194955,0.416249663,1.229816556
1.68029E+18,2.081529541,-0.128716707,0.473259062,1.327207446
1.68029E+18,2.091604736,-0.108673491,0.478133172,1.415395856
1.68029E+18,2.101679688,-0.085192136,0.422183037,1.475682616
1.68029E+18,2.111754639,-0.05621694,0.350854784,1.534042358
1.68029E+18,2.12182959,-0.028239638,0.3083722,1.616423965
1.68029E+18,2.131905762,-0.003834696,0.298079878,1.714799762
1.68029E+18,2.141980713,0.018736355,0.328231692,1.820748925
1.68029E+18,2.152055664,0.034598939,0.293592781,1.921760201
1.68029E+18,2.162130615,0.043459199,0.265369534,2.036762953
1.68029E+18,2.172205811,0.050966915,0.357982278,2.16413641
1.68029E+18,2.182280762,0.06024861,0.434786409,2.271347761
1.68029E+18,2.192356445,0.063107513,0.409163862,2.344724894
1.68029E+18,2.202431641,0.058960546,0.34739545,2.411929131
1.68029E+18,2.212506836,0.050938573,0.328361839,2.48749733
1.68029E+18,2.222581787,0.019964568,0.328659981,2.568931818
1.68029E+18,2.232656494,-0.033581216,0.257825464,2.627722025
1.68029E+18,2.242731689,-0.097951114,0.07253255,2.667551279
1.68029E+18,2.252807617,-0.182846025,-0.204035386,2.704552174
1.68029E+18,2.262882813,-0.270462155,-0.43772006,2.728668451
1.68029E+18,2.27295752,-0.351073653,-0.594703317,2.760762691
1.68029E+18,2.283032471,-0.43205151,-0.623287857,2.769113779
1.68029E+18,2.293107666,-0.464954853,-0.658350766,2.823774338
1.68029E+18,2.303183838,-0.504660785,-0.623523712,2.834414721
1.68029E+18,2.313258789,-0.532191455,-0.529445946,2.881855249
1.68029E+18,2.323333496,-0.574670613,-0.488451123,2.890856743
1.68029E+18,2.333408447,-0.637639999,-0.587488472,2.887166262
1.68029E+18,2.343483643,-0.716098785,-0.738248229,2.837206364
1.68029E+18,2.353558838,-0.800489306,-0.898679495,2.769733191
1.68029E+18,2.363634521,-0.854353011,-0.957067192,2.717581034
1.68029E+18,2.373709473,-0.908566952,-0.885137618,2.71222496
1.68029E+18,2.383784668,-0.933134198,-0.667564213,2.708173275
1.68029E+18,2.393859619,-0.958346069,-0.400061667,2.709740877
1.68029E+18,2.40393457,-0.968438566,-0.132616296,2.699896336
1.68029E+18,2.414010742,-0.974134564,-0.014694443,2.675989628
1.68029E+18,2.424085449,-0.977251351,-0.012409786,2.597818375
1.68029E+18,2.434160645,-0.960089386,0.010861449,2.514977932
1.68029E+18,2.444235596,-0.908139825,0.106102303,2.419841051
1.68029E+18,2.454310547,-0.839169025,0.234349489,2.337802887
1.68029E+18,2.464385742,-0.800340652,0.438236833,2.243259907
1.68029E+18,2.47446167,-0.77586484,0.643890381,2.165617943
1.68029E+18,2.484536621,-0.754531026,0.793900609,2.087805033
1.68029E+18,2.494611572,-0.767563462,0.824617267,2.013087988
1.68029E+18,2.504686523,-0.808021724,0.770156443,1.916872621
1.68029E+18,2.514761719,-0.832084954,0.590768576,1.804038525
1.68029E+18,2.524836914,-0.841188014,0.309616297,1.655181408
1.68029E+18,2.534912354,-0.842975795,0.114163429,1.509655595
1.68029E+18,2.544987549,-0.831443369,0.093550362,1.391252995
1.68029E+18,2.555062744,-0.816250563,0.224581599,1.293726444
1.68029E+18,2.565137695,-0.807352722,0.508105636,1.238566875
1.68029E+18,2.575212646,-0.79608357,0.770642698,1.203330874
1.68029E+18,2.585288574,-0.792832494,0.943474531,1.153399706
1.68029E+18,2.595363525,-0.80562073,0.943457782,1.072416425
1.68029E+18,2.605438721,-0.81487,0.801666379,0.950642109
1.68029E+18,2.615513672,-0.829712331,0.644152939,0.821041286
1.68029E+18,2.625588623,-0.830942988,0.518939614,0.697070837
1.68029E+18,2.635663818,-0.828401566,0.426869869,0.580553532
1.68029E+18,2.645739746,-0.827201664,0.368412971,0.480274379
1.68029E+18,2.655814697,-0.826013088,0.415434271,0.41007638
1.68029E+18,2.665889648,-0.829015732,0.436765313,0.35748294
1.68029E+18,2.6759646,-0.835717857,0.564017296,0.319368035
1.68029E+18,2.686039795,-0.825238883,0.729804218,0.300310135
1.68029E+18,2.696115723,-0.831039548,0.672012568,0.228701457
1.68029E+18,2.70619043,-0.825680494,0.433422863,0.142906874
1.68029E+18,2.716265625,-0.804612517,0.075555816,0.016853601
1.68029E+18,2.72634082,-0.774245739,-0.120839454,-0.072608911
1.68029E+18,2.736415771,-0.702581406,-0.156339392,-0.120593749
1.68029E+18,2.746490479,-0.659680545,-0.145514414,-0.157846153
1.68029E+18,2.75656665,-0.630614579,-0.188690111,-0.197044954
1.68029E+18,2.766641602,-0.582780361,-0.247594327,-0.227260485
1.68029E+18,2.776716797,-0.544007182,-0.276630759,-0.249142081
1.68029E+18,2.786791992,-0.510521948,-0.32664907,-0.284368306
1.68029E+18,2.796866455,-0.491390586,-0.423987597,-0.325933337
1.68029E+18,2.806942627,-0.459680468,-0.466691703,-0.347258151
1.68029E+18,2.817017822,-0.432953268,-0.338508159,-0.322286218
1.68029E+18,2.827092773,-0.410143614,-0.037748113,-0.262846529
