time,seconds_elapsed,z,y,x
1680291097194560300,2.20756030273437,-0.195899993181228,0.365299999713897,-0.626599967479705
1680291097204560400,2.21756030273437,-0.0797000005841255,0.626699984073638,-0.497899979352951
1680291097214561800,2.22756176757812,0.0766000002622604,0.761699974536895,-0.434100002050399
1680291097224560400,2.23756030273437,0.154100000858306,0.827699959278106,-0.267699986696243
1680291097234560300,2.24756030273437,0.573700010776519,0.647499978542327,-0.126900002360343
1680291097244560400,2.25756030273437,0.77590000629425,0.622599959373474,-0.0368000008165836
1680291097254564900,2.26756494140625,1.1226999759674,0.673599958419799,-0.0149999996647238
1680291097264560400,2.27756030273437,1.26999998092651,0.574099957942962,0.0671999976038932
1680291097274560300,2.28756030273437,1.56029999256134,0.245099991559982,0.151199996471405
1680291097284560400,2.29756030273437,1.70799994468688,0.175799995660781,0.119799993932247
1680291097294561800,2.30756176757812,2.04489994049072,0.306199997663497,0.193399995565414
1680291097304560400,2.31756030273437,2.15869998931884,0.380999982357025,0.0385999977588653
1680291097314561800,2.32756176757812,2.30729985237121,0.285099983215332,-0.0506999976933002
1680291097324627500,2.33762744140625,2.63839983940124,0.324000000953674,-0.136600002646446
1680291097334560300,2.34756030273437,2.77769994735717,0.377399981021881,-0.213399991393089
1680291097344560400,2.35756030273437,3.17999982833862,-0.0215999986976385,-0.173199996352195
1680291097354560300,2.36756030273437,3.27839994430542,-0.54799997806549,-0.0433999970555305
1680291097364560400,2.37756030273437,3.6622998714447,-0.612999975681304,-0.00969999935477972
1680291097374560300,2.38756030273437,3.89129996299743,-0.33390000462532,0.124599993228912
1680291097384566500,2.39756640625,4.14260005950927,-0.200699999928474,0.20610000193119
1680291097394560300,2.40756030273437,4.27080011367797,-0.0553999990224838,0.343799978494644
1680291097404560400,2.41756030273437,4.50229978561401,-0.0938000008463859,0.370499998331069
1680291097414560300,2.42756030273437,4.64039993286132,0.192900002002716,0.469099998474121
1680291097424560400,2.43756030273437,4.92189979553222,0.471699982881546,0.550700008869171
1680291097434566700,2.44756665039062,5.25489997863769,0.643700003623962,0.813999950885772
1680291097444560400,2.45756030273437,5.45589971542358,0.589299976825714,1.12080001831054
1680291097454560300,2.46756030273437,5.80849981307983,0.278499990701675,1.33389997482299
1680291097464560400,2.47756030273437,5.91919994354248,0.235100001096725,1.50409996509552
1680291097474560300,2.48756030273437,6.20269966125488,0.196899995207786,1.68639993667602
1680291097484562000,2.49756201171875,6.49769973754882,0.441299974918365,1.77079999446868
1680291097494560300,2.50756030273437,6.91359996795654,0.364299982786178,1.7369999885559
1680291097504560400,2.51756030273437,7.10500001907348,-0.0750999972224235,1.74419999122619
