time,seconds_elapsed,z,y,x
1.68029E+18,0.821681885,-2.370424271,-2.085526943,5.244122505
1.68029E+18,0.83175708,-2.365306139,-2.342707634,5.307640076
1.68029E+18,0.841831787,-2.358687401,-2.518980026,5.373691559
1.68029E+18,0.851906738,-2.357534647,-2.743357658,5.45834446
1.68029E+18,0.86198291,-2.381364107,-3.000107288,5.526193619
1.68029E+18,0.872058105,-2.421653986,-3.200008869,5.594825745
1.68029E+18,0.882132813,-2.456204414,-3.389094353,5.674981117
1.68029E+18,0.892207764,-2.475047112,-3.624833822,5.739745617
1.68029E+18,0.902283936,-2.506555319,-3.941938639,5.809473991
1.68029E+18,0.912358887,-2.571213961,-4.1432271,5.868371487
1.68029E+18,0.922434082,-2.629603863,-4.155329704,5.961308479
1.68029E+18,0.932508789,-2.655563116,-3.853919029,6.099168301
1.68029E+18,0.94258374,-2.639742136,-3.211026907,6.264451504
1.68029E+18,0.952659912,-2.556283474,-2.399147749,6.465022087
1.68029E+18,0.962735107,-2.418741226,-1.702488303,6.638203144
1.68029E+18,0.972809814,-2.281429291,-1.255201817,6.746678352
1.68029E+18,0.982884766,-2.164865732,-1.102931619,6.775475025
1.68029E+18,0.992960938,-2.028277159,-1.147956252,6.740111828
1.68029E+18,1.003035889,-1.910918713,-1.50307703,6.632778645
1.68029E+18,1.013111084,-1.822064042,-2.058111429,6.457863808
1.68029E+18,1.023186035,-1.750746727,-2.617271662,6.276126862
1.68029E+18,1.033261719,-1.685748935,-3.018417835,6.116647243
1.68029E+18,1.043336914,-1.608371019,-3.116574287,6.012980461
1.68029E+18,1.053412109,-1.495045185,-2.925379276,5.954018593
1.68029E+18,1.063486816,-1.386607409,-2.6866889,5.916112423
1.68029E+18,1.073562012,-1.307276964,-2.43507266,5.849937916
1.68029E+18,1.083637939,-1.231837511,-2.23806262,5.774898529
1.68029E+18,1.093712891,-1.128721237,-1.981057286,5.699802876
1.68029E+18,1.103788086,-1.029048204,-1.790525436,5.61163187
