time,seconds_elapsed,z,y,x
1.68029E+18,1.025374268,-0.831693649,1.137719393,0.948608041
1.68029E+18,1.035448975,-0.804703951,1.235633731,1.125061274
1.68029E+18,1.045525879,-0.760293603,1.18855989,1.278783917
1.68029E+18,1.05560083,-0.705569863,1.04905808,1.389061928
1.68029E+18,1.065676758,-0.634405375,0.781751812,1.485049367
1.68029E+18,1.075751709,-0.547566295,0.417556316,1.554444671
1.68029E+18,1.085827881,-0.466064781,0.067554347,1.596895218
1.68029E+18,1.095903076,-0.379691541,-0.268968016,1.635627985
1.68029E+18,1.105977783,-0.304173857,-0.574556172,1.652535915
1.68029E+18,1.116053711,-0.23497279,-0.760647058,1.665254712
1.68029E+18,1.126128906,-0.172133908,-0.827892661,1.672610998
1.68029E+18,1.136204834,-0.121756673,-0.791986465,1.667359352
1.68029E+18,1.146279785,-0.076578274,-0.720044613,1.666231275
1.68029E+18,1.156355957,-0.04372301,-0.708351076,1.659168959
1.68029E+18,1.166430664,-0.022366853,-0.729743481,1.651844144
1.68029E+18,1.176505859,-0.010522099,-0.770081162,1.652786732
1.68029E+18,1.186581787,-0.013661169,-0.848942995,1.656752229
1.68029E+18,1.196656738,-0.025582545,-0.913862705,1.669114709
1.68029E+18,1.20673291,-0.048555769,-0.888668656,1.686836481
1.68029E+18,1.216807617,-0.075868577,-0.831898689,1.711317897
1.68029E+18,1.226883789,-0.10505975,-0.744270802,1.731689215
1.68029E+18,1.23695874,-0.133935377,-0.66787535,1.77234304
1.68029E+18,1.247033936,-0.156707004,-0.587147474,1.799482226
1.68029E+18,1.257109863,-0.167731956,-0.550415933,1.840126276
1.68029E+18,1.26718457,-0.187430561,-0.586728632,1.898117661
1.68029E+18,1.277260742,-0.208357677,-0.678321838,1.964630961
1.68029E+18,1.287335938,-0.226628572,-0.781761944,2.044248343
1.68029E+18,1.297411865,-0.244017452,-0.904278278,2.142324209
1.68029E+18,1.307486816,-0.267108113,-0.990275979,2.244581223
