time,seconds_elapsed,z,y,x
1.68029E+18,0.825766113,0.280824572,-1.438120008,1.231174707
1.68029E+18,0.835841309,0.155276507,-1.273482919,1.371181369
1.68029E+18,0.845916992,0.031805247,-1.126540661,1.483810067
1.68029E+18,0.855992188,-0.102497697,-1.136595011,1.577679753
1.68029E+18,0.866067383,-0.243430585,-1.27406764,1.620574594
1.68029E+18,0.876142822,-0.378160447,-1.404401422,1.646952391
1.68029E+18,0.886218018,-0.513180077,-1.525118589,1.648162127
1.68029E+18,0.896294189,-0.631260633,-1.601415753,1.626656294
1.68029E+18,0.906369141,-0.748983085,-1.51467216,1.611337662
1.68029E+18,0.916445068,-0.872538567,-1.269565701,1.581180096
1.68029E+18,0.92652002,-1.001601577,-1.113233924,1.538031578
1.68029E+18,0.936595947,-1.151957512,-1.119723558,1.462014914
1.68029E+18,0.946671143,-1.323408246,-1.120277524,1.380640745
1.68029E+18,0.95674707,-1.483982205,-1.111288548,1.296062946
1.68029E+18,0.966822021,-1.640258193,-1.101348519,1.232486725
1.68029E+18,0.976896973,-1.775657892,-1.02205205,1.18578279
1.68029E+18,0.9869729,-1.883425832,-0.891876221,1.168498039
1.68029E+18,0.997047852,-1.978968859,-0.724542081,1.18134737
1.68029E+18,1.007124023,-2.061760426,-0.482076973,1.218526125
1.68029E+18,1.017199219,-2.13980341,-0.347715437,1.266598821
1.68029E+18,1.027275146,-2.222116709,-0.382184029,1.303568482
1.68029E+18,1.037349854,-2.307262897,-0.527103662,1.339057207
1.68029E+18,1.047426025,-2.390866995,-0.734116256,1.372884035
1.68029E+18,1.057501221,-2.464166164,-0.875196159,1.416620851
1.68029E+18,1.067575928,-2.528514385,-1.00022912,1.480183244
1.68029E+18,1.0776521,-2.580621958,-1.063555837,1.550884604
1.68029E+18,1.087727051,-2.620354176,-1.053163171,1.639226198
1.68029E+18,1.097802734,-2.649489403,-1.017496467,1.726263046
1.68029E+18,1.10787793,-2.661503315,-1.000271082,1.814520955
1.68029E+18,1.117954102,-2.664694071,-0.876555502,1.911250949
1.68029E+18,1.128029053,-2.675071478,-0.839333832,2.004191875
1.68029E+18,1.13810498,-2.694916725,-0.985253215,2.087268114
1.68029E+18,1.148179932,-2.725133419,-1.138781905,2.168808937
1.68029E+18,1.158256104,-2.756740332,-1.272035599,2.262733459
1.68029E+18,1.168331055,-2.782229424,-1.427670002,2.36223793
1.68029E+18,1.178406006,-2.817117214,-1.600520134,2.467028856
1.68029E+18,1.188482178,-2.838586092,-1.707488418,2.574571848
1.68029E+18,1.198556885,-2.866418362,-1.800769329,2.691403866
1.68029E+18,1.208632813,-2.908855915,-1.878042817,2.818566322
1.68029E+18,1.218708008,-2.959120035,-1.977287054,2.946519375
1.68029E+18,1.22878418,-3.01254034,-2.000650644,3.089222431
1.68029E+18,1.238859131,-3.067706347,-1.980631351,3.260796309
1.68029E+18,1.248935059,-3.118931293,-1.889163494,3.445517302
1.68029E+18,1.25901001,-3.181216955,-1.865824938,3.662329674
1.68029E+18,1.269084961,-3.227334499,-1.917181015,3.869679213
1.68029E+18,1.279161133,-3.2657547,-2.065383196,4.064473152
1.68029E+18,1.289236084,-3.289987326,-2.301770687,4.240823269
1.68029E+18,1.299312012,-3.313153028,-2.51135087,4.382273674
1.68029E+18,1.309386963,-3.345615625,-2.571521282,4.509560585
1.68029E+18,1.319462891,-3.397471428,-2.664270639,4.608990192
1.68029E+18,1.329537842,-3.470240355,-2.763781786,4.669211864
1.68029E+18,1.339614014,-3.531320095,-2.726509571,4.702524185
1.68029E+18,1.349689209,-3.5858078,-2.614209652,4.736657619
1.68029E+18,1.359765137,-3.620124817,-2.543707371,4.738528728
1.68029E+18,1.369839844,-3.616011143,-2.447590351,4.7196455
1.68029E+18,1.379915039,-3.601666451,-2.310804605,4.698969364
1.68029E+18,1.389991211,-3.562467813,-2.14053297,4.656358719
1.68029E+18,1.400065918,-3.492821217,-1.996618867,4.593797684
1.68029E+18,1.41014209,-3.419238091,-1.895700216,4.532393456
1.68029E+18,1.420217041,-3.347897291,-1.801607013,4.44536829
1.68029E+18,1.430292969,-3.248606443,-1.767095208,4.356054306
1.68029E+18,1.44036792,-3.13529706,-1.732572198,4.268495083
1.68029E+18,1.450444092,-2.997776985,-1.618006706,4.187941551
1.68029E+18,1.460519287,-2.842743874,-1.462674856,4.105395794
1.68029E+18,1.470594971,-2.675712585,-1.287458062,4.023125172
1.68029E+18,1.480669922,-2.47158885,-1.019720078,3.917047977
1.68029E+18,1.490745117,-2.293641806,-0.935734928,3.794249535
1.68029E+18,1.500821045,-2.113693237,-0.995180964,3.62701273
1.68029E+18,1.510895996,-1.943040252,-1.242640615,3.407165051
1.68029E+18,1.520972168,-1.820849061,-1.737113833,3.18034029
1.68029E+18,1.531046875,-1.756611228,-2.010971069,2.954131365
1.68029E+18,1.541122803,-1.723333955,-1.918035507,2.770252228
1.68029E+18,1.551197998,-1.72364819,-1.674362302,2.611849785
1.68029E+18,1.56127417,-1.722374201,-1.369632721,2.446676493
1.68029E+18,1.571349121,-1.699664593,-1.079703569,2.260652304
1.68029E+18,1.581423828,-1.699327707,-0.878854394,2.067547321
1.68029E+18,1.5915,-1.657891273,-0.492979705,1.858541131
1.68029E+18,1.601574951,-1.60142374,0.017259311,1.663908243
1.68029E+18,1.611650879,-1.557880878,0.47612071,1.477338552
1.68029E+18,1.621726074,-1.51827991,0.883164883,1.2695508
1.68029E+18,1.631802246,-1.540318847,1.10308063,1.082436204
1.68029E+18,1.641876953,-1.541318655,1.353346944,0.800237358
1.68029E+18,1.651952881,-1.594314814,1.132745624,0.541873634
1.68029E+18,1.662028076,-1.586660385,0.86529851,0.18914862
1.68029E+18,1.672104004,-1.506925344,0.999880373,-0.121958673
1.68029E+18,1.682179199,-1.400011897,1.127225518,-0.401861697
1.68029E+18,1.692253906,-1.232372999,1.239860773,-0.75211072
1.68029E+18,1.702329834,-1.06943655,1.125195742,-1.044188023
1.68029E+18,1.712405029,-0.938224852,1.142920613,-1.331528544
1.68029E+18,1.722480957,-0.802720547,1.345952511,-1.599705338
1.68029E+18,1.732555908,-0.711936533,1.380019069,-1.834439993
1.68029E+18,1.74263208,-0.641812325,1.357201576,-2.040881634
1.68029E+18,1.752707031,-0.52551353,1.298686028,-2.251712084
1.68029E+18,1.762782959,-0.444525719,0.954277694,-2.411892176
1.68029E+18,1.77285791,-0.317213893,0.50100702,-2.561002731
1.68029E+18,1.782934082,-0.113195509,-0.004486229,-2.756939888
1.68029E+18,1.793009277,0.049276188,-0.400636554,-2.911660433
1.68029E+18,1.80308374,0.304954827,-0.576437414,-3.192089796
1.68029E+18,1.813159912,0.523180842,-0.746258616,-3.54654789
1.68029E+18,1.823235107,0.797608376,-0.647428691,-4.012796879
1.68029E+18,1.833311035,1.082695603,-0.487989694,-4.487850189
1.68029E+18,1.843385986,1.385890126,-0.191320717,-5.009488583
1.68029E+18,1.853462158,1.835457563,0.277834743,-5.736470699
1.68029E+18,1.863537109,2.291448116,0.184552476,-6.700604439
1.68029E+18,1.873612793,2.933778286,0.631803811,-8.001185417
1.68029E+18,1.883687988,3.936282635,1.869061112,-9.720326424
1.68029E+18,1.89376416,5.0561409,2.389425755,-11.57056808
1.68029E+18,1.903839111,6.413394928,3.20503664,-13.61341572
1.68029E+18,1.913915039,8.714743614,1.96773994,-14.54724598
1.68029E+18,1.92398999,8.715003014,0.128316417,-15.78763294
1.68029E+18,1.934064941,9.518823624,4.77644825,-15.58078575
1.68029E+18,1.944140869,10.24423122,7.066363811,-16.62688065
1.68029E+18,1.954216064,10.4990778,7.321776867,-16.84679985
1.68029E+18,1.964292236,10.32788181,5.718824863,-16.86427498
1.68029E+18,1.974366943,10.0707159,2.427108526,-16.17339706
1.68029E+18,1.984442871,10.32522869,-2.814296246,-15.5532074
1.68029E+18,1.994518066,10.70546532,-8.674477577,-14.35670376
1.68029E+18,2.004593994,11.08227825,-11.87572384,-12.28017902
1.68029E+18,2.014669189,10.95799637,-12.04036045,-9.868907928
1.68029E+18,2.024743896,10.41461277,-9.330061913,-7.327642918
1.68029E+18,2.034819824,9.296663284,-5.455512524,-4.999461651
1.68029E+18,2.04489502,7.926699638,-2.760951042,-3.201401949
1.68029E+18,2.054970947,6.711792469,-0.781300187,-1.808015943
1.68029E+18,2.065045898,5.495357037,0.99938488,-0.49646455
1.68029E+18,2.07512207,4.422129631,1.954178691,0.586528957
