time,seconds_elapsed,z,y,x
1.68029E+18,1.037620361,-1.273123503,-1.717969537,1.295321941
1.68029E+18,1.047696289,-1.392012715,-1.580057502,1.299406409
1.68029E+18,1.057771484,-1.508140683,-1.406774998,1.300032496
1.68029E+18,1.067847412,-1.609377384,-1.327537179,1.307072043
1.68029E+18,1.077922607,-1.700179935,-1.465004206,1.347254276
1.68029E+18,1.087997314,-1.805411935,-1.638381958,1.356671929
1.68029E+18,1.098073242,-1.899010301,-1.749609947,1.395827889
1.68029E+18,1.108148438,-1.986262083,-1.78987956,1.443578482
1.68029E+18,1.118224365,-2.062599897,-1.842003226,1.497143984
1.68029E+18,1.128299316,-2.134085417,-1.890602827,1.559875011
1.68029E+18,1.138375244,-2.200170755,-1.872518182,1.636385322
1.68029E+18,1.148450439,-2.260579348,-1.742157817,1.717817783
1.68029E+18,1.158525391,-2.317068815,-1.610055208,1.816419482
1.68029E+18,1.168601318,-2.373854399,-1.686825514,1.906892538
1.68029E+18,1.178676514,-2.438719988,-1.897272706,1.996446967
1.68029E+18,1.188752441,-2.512677431,-2.133147478,2.109093428
1.68029E+18,1.198827148,-2.592876673,-2.336687088,2.22145319
1.68029E+18,1.20890332,-2.643250704,-2.369749308,2.350651026
1.68029E+18,1.218978516,-2.702776432,-2.322683096,2.50525856
1.68029E+18,1.229053467,-2.767398596,-2.313351631,2.656200647
1.68029E+18,1.239129395,-2.818518639,-2.454739332,2.839075089
1.68029E+18,1.249204346,-2.880772352,-2.497471571,2.987056971
1.68029E+18,1.259280518,-2.922609806,-2.748173952,3.189985991
1.68029E+18,1.269355225,-3.007757425,-2.798453808,3.369618654
1.68029E+18,1.279431396,-3.043575287,-2.795000792,3.615044355
1.68029E+18,1.289506592,-3.071973324,-2.802047968,3.844036341
1.68029E+18,1.299581299,-3.08271575,-2.808367014,4.089155674
1.68029E+18,1.309657227,-3.058665276,-2.684534788,4.346102715
1.68029E+18,1.319732422,-3.01576829,-2.618142605,4.59165144
1.68029E+18,1.32980835,-2.91934514,-2.674565077,4.810227871
1.68029E+18,1.339883545,-2.849749088,-2.851827383,4.994924068
1.68029E+18,1.349959473,-2.786086559,-3.07316637,5.161348343
1.68029E+18,1.36003418,-2.731726408,-3.096998453,5.304391384
1.68029E+18,1.370109375,-2.668661356,-2.918403864,5.447247505
1.68029E+18,1.380185303,-2.592630863,-2.75548172,5.54693079
1.68029E+18,1.390260254,-2.516147375,-2.703714848,5.615807533
1.68029E+18,1.400336426,-2.473875523,-2.687157393,5.626891613
1.68029E+18,1.410411377,-2.444573641,-2.356512785,5.564425945
1.68029E+18,1.420487305,-2.40160799,-1.835282207,5.552102089
1.68029E+18,1.430562256,-2.318125725,-1.478710055,5.463149071
1.68029E+18,1.440638428,-2.181887388,-1.101836205,5.349886417
1.68029E+18,1.450713623,-2.038201809,-0.773414731,5.278227806
1.68029E+18,1.460788086,-1.862161398,-0.853783071,5.141332626
1.68029E+18,1.470864258,-1.688262224,-1.134100795,5.003333569
1.68029E+18,1.480939453,-1.515120864,-1.411567807,4.90654707
1.68029E+18,1.491015381,-1.310185432,-1.59506321,4.797644615
1.68029E+18,1.501090332,-1.131630898,-1.69327426,4.763708591
1.68029E+18,1.511166504,-0.933387041,-1.479618669,4.695587635
1.68029E+18,1.521241455,-0.727471173,-1.080340266,4.612290382
1.68029E+18,1.531316406,-0.526455522,-0.889355659,4.504805088
1.68029E+18,1.541392334,-0.372333348,-1.282427311,4.308209896
1.68029E+18,1.551467529,-0.302951723,-1.920451164,4.034437656
1.68029E+18,1.561543457,-0.281381726,-2.306047201,3.744660378
1.68029E+18,1.571618164,-0.268354446,-2.355598211,3.416603088
1.68029E+18,1.581694336,-0.298040688,-2.233741045,3.15310216
1.68029E+18,1.591769287,-0.319413483,-1.79106307,2.862779856
